Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python,Python,SQL,PowerBI,Tableau,AWS
Junior Data Scientist,$55K - $60K (Employer est.),"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",4.3,Augray,"Brookfield, WI",51 to 200 Employees,2014.0,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,55,60,57.5, WI,6.0,1,1,0,0,0,0
Data Scientist,$115K - $130K (Employer est.),"Data Scientist
United States - Remote
Competitive Salary plus Benefits and Bonus
TECH STACK: Python / R, SQL, PowerBI / Tableau, AWS / GCP
This is an exciting opportunity to join one of the fastest growing tech companies in the US, they are looking for an experienced Data Scientist whose role will be to provide key insights to business problems and work on predictive and machine learning algorithms through to deployment.
ABOUT THE COMPANY",,Dataworks,Remote,1 to 50 Employees,2021.0,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),0,1,115,130,122.5,,-1.0,1,1,1,1,1,1
Data Scientist,$240K (Employer est.),"Data Scientist with Digital Space Experience
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Compensation:",,Motivated,Remote,,,,,,,0,1,240,240,240.0,,,0,0,0,0,0,0
"Junior Data Scientist, Supply Chain",$60K - $120K (Employer est.),"Location
Singapore, Central Singapore
Planning Area
MARINA SOUTH
Job Type
Full Time
Salary
$5,000 - $10,000 Per Month
Date Posted
4 days ago
Expiry Date
09-Aug-2022
Additional Details",4.3,DELL,"Marina, CA",10000+ Employees,1984.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,1,60,120,90.0, CA,36.0,0,0,0,0,0,0
(Junior / Senior) Data Scientist - Sports Analytics,$75K - $150K (Employer est.),"We are seeking data scientists with a passion for sports to implement, automate, and optimize the quantitative models that power our world-class sports intelligence platforms in baseball, basketball, cricket, football (American), hockey, soccer, and tennis. Through your work, you can support the professional teams in our exclusive partner network in their efforts to compete and win championships. We currently have both entry-level and senior positions available, allowing us to consider qualified candidates with a wide range of experience levels.
Zelus Analytics unites a fast-growing startup environment with a research-focused culture that embraces our core values of integrity, innovation, and inclusion. We pride ourselves on providing meaningful mentorship that offers our team the opportunity to develop and expand their skill sets while also engaging with the broader analytics community. In doing so, we hope to create a new path for a more diverse group of highly talented people to push the cutting edge of sports analytics.",,Zelus,"Austin, TX",1 to 50 Employees,,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,1,75,150,112.5, TX,,0,0,0,0,0,0
Computer Vision ML Engineer Data Scientist,$100K - $150K (Employer est.),"3 years ago, we founded a biotech company in the USA. We are creating an AI technology for online early diagnosis of fatal diseases, which can extend an active life by 20 years, slow & reverse aging. The technology is based on Big Data collected over 70 years by the G-20 countries.
At various times, the company was advised by leading scientists, incl. Alexey Moskalev (Russia) and the Principal of the Harvard Medical School Vadim Gladyshev (USA).
The first data set was provided by the Massachusetts Institute of Technology from the USA (MIT) - 60,000 depersonalized profiles.
Have 4 mobile app awards & recently was named by Blue Tulip Awards 2021 (supported by world's famous consulting firm Accenture) as one of the top 20 health innovative companies.",3.9,Longevity,Remote,1 to 50 Employees,,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,100,150,125.0,,,0,0,0,0,0,0
Data Scientist (Entry Level),$65K - $96K (Glassdoor est.),"Are you curious about applying analytics to business problems and interested in a career in data science? In this role you’ll contribute right away by digging into data to understand patterns in our customer’s business, set up reporting on key success metrics, and uncover opportunities for improving our core algorithms. Plus, over time we’ll train you on our advanced analytics and machine learning models so you can grow into a full data science role.
Day in the Life
Perform rigorous data validation and conduct deep dive analysis to understand each customer’s unique business needs to drive product configuration decisions (using SQL or Python). Examples include:
o Analysis to understand seasonal patterns in a customer’s demand
o Analysis to understand a customer’s current pricing volatility
o Analysis to identify markets or segments with largest opportunities for revenue growth",4.4,Revenue,"Atlanta, GA",51 to 200 Employees,2005.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,0,65,96,80.5, GA,15.0,1,1,1,0,0,0
"Data Scientist, Personalization",$89K - $142K (Glassdoor est.),"Data, Research & Insights
Data Science
The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. We ask that our team members be physically located in Central European time or Eastern Standard/Daylight time zones for the purposes of our collaboration hours.
Location
New York or Remote ESTAmericas",4.2,Spotify,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,89,142,115.5, NY,14.0,0,0,0,0,0,0
Data Scientist,$94K - $145K (Glassdoor est.),"Job Title:
Data Scientist
Requisition ID:
R016034
Job Description:
Job Title: Data Scientist
Reporting To: Sr Manager, Data Science, Live Ops Analytics
Department: Global Analytics
Location: Santa Monica",3.3,Activision,"Santa Monica, CA",1001 to 5000 Employees,1979.0,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),0,0,94,145,119.5, CA,41.0,0,0,0,0,0,0
Data Scientist or Bioinformatician,$67K - $120K (Employer est.),"Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.",3.9,UT,Remote,10000+ Employees,1943.0,Hospital,Health Care Services & Hospitals,Healthcare,$2 to $5 billion (USD),0,1,67,120,93.5,,77.0,0,0,0,0,0,0
data scientist (multiple openings) - Remote,$61K - $96K (Glassdoor est.),"Job Posting
: Jun 23, 2022
Job Posting End Date
: Aug 22, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",3.8,Starbucks,"Seattle, WA",10000+ Employees,1971.0,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),0,0,61,96,78.5, WA,49.0,0,0,0,0,0,0
Data Scientist,$78K - $191K (Employer est.),"Bell Federal Systems Inc. is a government contractor located in Springfield VA. We are seeking Data Scientists with PhD degrees to support corporate clients and federal agencies. The candidate should have extensive experience in a relative field such as quantitative methods, data mining, statistics, or analytic methodologies.
Job Type: Contract
Pay: $78,017.23 - $190,813.27 per year
Schedule:
On call
Education:",,Bell,Remote,,,,,,,0,1,78,191,134.5,,,0,0,0,0,0,0
Data Scientist (Remote),$88K - $220K (Employer est.),"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity is fully remote and does not require you to be located in any particular state within the US. We welcome applicants from throughout the US.",3.5,Yelp,Remote,5001 to 10000 Employees,2004.0,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),0,1,88,220,154.0,,16.0,0,0,0,0,0,0
Data Scientist,$100K - $130K (Employer est.),"About the Data Scientist position
We are looking for a skilled Data Scientist who will help us analyze large amounts of raw information to find patterns and use them to make sense of the app industry. We have enormous amounts of data about the app store, and you'll be responsible for building data products to extract valuable insights that will empower our members as they navigate the app store.
We expect you to be highly analytical with a knack for analysis, math, and statistics and a passion for machine learning and research. Critical thinking and problem-solving skills are also required.
Data Scientist responsibilities are:",2.9,Appfigures,Remote,1 to 50 Employees,2009.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),0,1,100,130,115.0,,11.0,0,0,0,0,0,0
Data Scientist,$89K - $126K (Glassdoor est.),"We are seeking hands-on candidates who will be deep in code, and are technically strong in areas like modeling, statistical characterization, data-visualization and data-association for generating crucial inferences (hereby referred to as the inference engine). The intelligence derived from the inference engine will directly impact areas like
Product optimization by exploring system-level trends that deteriorate surgical experience.
Procedure development by generating statistical benchmarks for qualifying positive vs negative surgical deviations.
Product monitoring by developing a framework for quantifying performance with respect to nominal.
Prior experience in medical device development is not required.





United States-California-Santa Clara-5490 Great America Pkwy

Auris Health, Inc. (6267)

R&D

2206058013W",4.2,Johnson,"Santa Clara, CA",10000+ Employees,1887.0,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,89,126,107.5, CA,133.0,0,0,0,0,0,0
Data Scientist,$60 Per Hour(Employer est.),"Data Scientist
Initial Remote
W2 (Full-Time)
Job Description:
4 to 5 years of experience and proven track record in solving business problems through fact-based and scientific analytics.
Comfortable in working with programming language Python..
Sound understanding of ML techniques for NLP.
Advanced knowledge of Transformers and underlying concepts of neural networks.
Experienced in working with Tensorflow, PyTorch, and spaCy.",2.4,Serve,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable,1,1,60,60,60.0,,,1,1,0,0,0,0
Data Scientist,$94K - $141K (Glassdoor est.),"Supporting the Disney Advertising Sales organization within our Disney Media & Entertainment Distribution (DMED) segment, the Audience Modeling and Data Science team are subject matter experts in each of the following areas:
Creating and optimizing audience classification models that enable us to predict and target strategic audience attributes, including brand affinity, purchase behavior, and psychographics
Integrating a broad suite of complex datasets, from digital event logs to sporting event metadata, into carefully curated and reusable data models
Publishing audience attributes across an array of ad-serving endpoints
Working cross-functionally to ensure our data product is aligned with the goals of each strategic sales vertical and the business as a whole

We are looking for Data Scientists with strong SQL skills, knowledge of implementing ETL/orchestration processes and excellent data engineering background to join the Walt Disney Company’s DMED segment on the Ad Sales team. This role reports into the Data Science Strategy organization that manages key revenue-driving products for the Audience Modeling and Data Science team. The ideal candidate is a Data Science Engineer, Data Scientist, Data Engineer or Software Engineer that is looking to grow into a high-visibility, client-facing role.",4.0,Disney,"Santa Monica, CA",10000+ Employees,1923.0,Company - Public,Film Production,Media & Communication,$10+ billion (USD),0,0,94,141,117.5, CA,97.0,0,0,1,0,0,0
